201,Introduction to Indigenous Studies,INDG 201,none,none,none
303,Indigenous Ways of Knowing I,INDG 303,none,Credit for Indigenous Studies 303 and either Social Work 553.30 or Social Work 553.33 will not be allowed.,none
305,Indigenous Ways of Knowing II,INDG 305,3 units from Social Work 201$ Indigenous Studies 303$ Social Work 553.30$ Social Work 553.33 or admission to the BSW Post-Diploma.,Credit for Indigenous Studies 305 and either Social Work 553.31 or 553.34 will not be allowed.,none
312,Cultural Immersion Field Course,INDG 312,Indigenous Studies 303 or 317.,none,none
317,Ecological Knowledge,INDG 317,none,none,none
343,Indigenous Law in Canada,INDG 343,none,none,none
395,Topics in Indigenous Gender$ Sexuality and Feminism,INDG 395,none,none,none
397,Topics in Canadian Indigenous Studies,INDG 397,none,none,none
399,Topics in International Indigenous Studies,INDG 399,none,none,none
400,Directed Research in International Indigenous Studies ,INDG 400,none,none,none
407,Comparative International Indigenous Communities,INDG 407,6 units from Indigenous Studies 303$ 305$ 399.,none,none
415,Indigenous Ethics and Protocol ,INDG 415,Indigenous Studies 201 and an additional 3 units from the Core Courses in the Field of International Indigenous Studies (Anthropology 210$ English 376$ History 345$ 443$ Indigenous Studies 303$ 305$ 407$ Indigenous Languages 301$ Political Science 345$ Sociology 307).,Credit for Indigenous Studies 415 and 315 will not be allowed.,none
492,Indigenous Psychology,INDG 492,Psychology 200$ 201$ and admission to the International Indigenous Studies major.,none,none
502,Advanced Topics in Canadian Indigenous Studies,INDG 502,60 units$ including 3 units in courses labelled Indigenous Studies at the 300 level or above.,Credit for Indigenous Studies 502 and 501 will not be allowed.,none
503,Advanced Topics in International Indigenous Studies,INDG 503,60 units$ including 3 units in courses labelled Indigenous Studies at the 300 level.,none,none