200,Religious Myths and Worldviews  ,RELS200,none,none,none
201,Jews, Christians and Muslims ,RELS201,none,none,none
203,Asian Religions ,RELS203,none,none,none
205,Religion and The Good Life,RELS205,none,Credit for Religious Studies 205 and 350 will not be allowed.,none
300,Classical Hebrew I,RELS300,none,Credit for Religious Studies 300 and 207 will not be allowed.,none
301,Studies in the Hebrew Bible/Old Testament,RELS301,none,none,none
302,Classical Hebrew II,RELS302, Religious Studies 300.,Credit for Religious Studies 302 and 209 will not be allowed.,none
303,Introduction to Hinduism,RELS303,none,none,none
305,Greek Religion,RELS305,3 units from Greek and Roman Studies 205, 209, Religious Studies 201, 205.,none,none
307,Popular Hinduism,RELS307,none,none,none
309,Religious Experience,RELS309,none,none,none
310,Sanskrit I,RELS310,none,Credit for Religious Studies 310 and 211 will not be allowed.,none
312,Sanskrit II,RELS312,Religious Studies 310.,Credit for Religious Studies 312 and 213 will not be allowed.,none
313,Introduction to Buddhism,RELS313,none,none,none
314,Tibetan I,RELS314,none,Credit for Religious Studies 314 and 215 will not be allowed.,none
316,Tibetan II,RELS316,Religious Studies 314.,none,none
317,Religion in South Asia,RELS317,none,none,none
319,Esoteric Buddhism,RELS319,none,none,none
320,Classical Chinese for Religious Texts I,RELS320,none,none,none
322,Classical Chinese for Religious Texts II,RELS322,Religious Studies 320.,none,none
323,Mahayana Buddhism,RELS323,none,none,none
324,Zen Buddhism,RELS324,none,none,none
327,Tibetan Religious Traditions,RELS327,none,none,none
329,Buddhism in East Asia,RELS329,none,none,none
331,Religious Perspectives on Suffering,RELS331,none,none,none
333,Religious Perspectives on Death and Afterlife,RELS333,none,none,none
335,Ritual and Religion ,RELS335,none,none,none
338,Atheism,RELS338,none,none,none
339,Transformations of Religion in Africa,RELS339,none,none,none
341,New Religious Movements,RELS341,none,none,none
343,Religion and Social Morality,RELS343,none,none,none
344,The Bible as Literature,RELS344,none,none,none
345,God and Transcendence,RELS345,none,none,none
346,Chaos, Demons and Monsters,RELS346,none,none,none
348,Religion, Empire and Colonialism,RELS348,none,none,none
349,Religion and Politics,RELS349,none,none,none
353,Islam in the Modern World,RELS353,none,none,none
357,Islam,RELS357,none,none,none
359,East Asian Religious Traditions,RELS359,none,none,none
360,Buddhist Practice Traditions,RELS360,none,none,none
363,Cross-Cultural Philosophy of Religion,RELS363,none,none,none
367,Topics: Comparative Studies in Western Religions,RELS367,none,none,none
369,Introduction to Judaism,RELS369,none,none,none
373,Topics in Religious Studies,RELS373,none,none,none
377,Research and Critical Inquiry in Religious Studies,RELS377,Admission to Religious Studies major or minor.,none,none
381,Gender, Sex and Religion ,RELS381,none,Credit for Religious Studies 381 and 373.09 will not be allowed.,none
383,From Jesus to Christ,RELS383,none,none,none
385,Pagans and Christians,RELS385,none,none,none
387,Christian Monks, Mystics and Reformers,RELS387,none,none,none
389,Christian Responses to Modernity,RELS389,none,none,none
397,Religion and Science,RELS397,none,none,none
398,Religion and the Environment,RELS398,none,none,none
399,Topics: Religion in Popular Culture,RELS399,none,none,none
417,Topics: Recent Religious Thought,RELS417,3 units in Nature of Religion at the 300 level.,none,none
437,Hermeneutics,RELS437,3 units of courses labelled Religious Studies at the 300 level. ,none,none
439,Advanced Topics in New Religious Movements,RELS439,Religious Studies 341.,none,none
440,Religion and Economic Systems,RELS440,3 units of courses labelled Religious Studies at the 300 level.,none,none
444,Existentialism,RELS444,3 units of courses labelled Religious Studies at the 300 level.
   ,none,none
445  ,Advanced Studies in Asian Thought,RELS445  ,Philosophy 335 or 3 units of courses labelled Religious Studies at the 300 level.,none,none
447,Theories of Religion,RELS447,Admission to Religious Studies major, Religious Studies 377 and 3 units of courses labelled Religious Studies at the 300 level.,none,none
451,Advanced Topics in Hinduism,RELS451,Religious Studies 303 or 307.,none,none
453,Advanced Topics in Buddhism,RELS453,3 units from Religious Studies 313, 319, 323, 327 or 329.,none,none
461,Advanced Topics in East Asian Religions,RELS461,Religious Studies 359.,none,none
463,Advanced Topics in Cross-Cultural Philosophy of Religion,RELS463,3 units of courses labelled Religious Studies at the 300 level.
   ,none,none
469,Advanced Topics in Judaism,RELS469,Religious Studies 369.,none,none
473,Advanced Topics in Islam ,RELS473,Religious Studies 353 or 357.,none,none
474,Advanced Topics in Religious Studies ,RELS474,3 units of courses labelled Religious Studies at the 300 level.,none,none
477,Further Studies in the Hebrew Bible/Old Testament,RELS477,Religious Studies 301.,none,none
479,Contemporary Issues in Women and Religion,RELS479,3 units of courses labelled Religious Studies at the 300 level.
   ,none,none
484,Advanced Topics in Christianity,RELS484,3 units from Religious Studies 383, 385, 387 or 389.,none,none
491,Topics: Reading Religious Texts in Primary Languages,RELS491,3 units from Religious Studies 302, 312, 316 or 322.,none,none
577,Senior Project Seminar,RELS577,Religious Studies 377 and 6 units of courses labelled Religious Studies at the 400 or 500 level and admission to the Religious Studies major or minor.,none,none
590,Honours Thesis,RELS590,Religious Studies 377 and 6 units of courses labelled Religious Studies at the 400 or 500 level and admission to the Honours program in Religious Studies or Ancient and Medieval History.,none,none
595,Directed Independent Study,RELS595,9 units of courses labelled Religious Studies at the senior level with at least 3 units at the 400 level or above and consent of the Department.,none,none
601,Studies in Western Religions,RELS601,none,none,none
603,Studies in Eastern Religions,RELS603,none,none,none
605,Studies in the Nature of Religion,RELS605,none,none,none
607,Supervised Mastersinglequotes Thesis Inquiry,RELS607,none,none,none
609,Selected Topics on Critical Discourses in the Study of Religion,RELS609,none,none,none
681,Specialized Studies in Western Religions,RELS681,none,none,none
683,Specialized Studies in Eastern Religions,RELS683,none,none,none
685,Specialized Studies in the Nature of Religion,RELS685,none,none,none
701,Studies in Western Religions,RELS701,none,none,none
703,Studies in Eastern Religions,RELS703,none,none,none
705,Studies in the Nature of Religion,RELS705,none,none,none
707,PhD Departmental Colloquium,RELS707,none,none,none
709,Advanced Topics on Critical Discourses in the Study of Religion,RELS709,none,none,none